"File Name","Leaf #"
"JR_FrgE.S 2729.JPG","1.0"
"JR_FrgE.S 2730.JPG","1.0"
"JR_FrgE.S 2731.JPG","1.0"
"JR_FrgE.S 2732.JPG","1.0"
"JR_FrgE.S 2733.JPG","1.0"
"JR_FrgE.S 2734.JPG","1.0"
"JR_FrgE.S 2735.JPG","1.0"
"JR_FrgE.S 2736.JPG","1.0"
"JR_FrgE.S 2737.JPG","1.0"
"JR_FrgE.S 2738.JPG","2.0"
"JR_FrgE.S 2739.JPG","2.0"
"JR_FrgE.S 2740.JPG","2.0"
"JR_FrgE.S 2741.JPG","2.0"
"JR_FrgE.S 2742.JPG","2.0"
"JR_FrgE.S 2743.JPG","2.0"
"JR_FrgE.S 2744.JPG","2.0"
"JR_FrgE.S 2745.JPG","2.0"
"JR_FrgE.S 2746.JPG","2.0"
"JR_FrgE.S 2747.JPG","2.0"
"JR_FrgE.S 2748.JPG","3.0"
"JR_FrgE.S 2749.JPG","3.0"
"JR_FrgE.S 2750.JPG","3.0"
"JR_FrgE.S 2751.JPG","3.0"
"JR_FrgE.S 2752.JPG","3.0"
"JR_FrgE.S 2753.JPG","3.0"
"JR_FrgE.S 2754.JPG","3.0"
"JR_FrgE.S 2755.JPG","3.0"
"JR_FrgE.S 2756.JPG","3.0"
"JR_FrgE.S 2757.JPG","4.0"
"JR_FrgE.S 2758.JPG","4.0"
"JR_FrgE.S 2759.JPG","4.0"
"JR_FrgE.S 2760.JPG","4.0"
"JR_FrgE.S 2761.JPG","4.0"
"JR_FrgE.S 2762.JPG","4.0"
"JR_FrgE.S 2763.JPG","4.0"
"JR_FrgE.S 2764.JPG","4.0"
"JR_FrgE.S 2765.JPG","4.0"
"JR_FrgE.S 2766.JPG","4.0"
"JR_FrgE.S 2767.JPG","4.0"
"JR_FrgE.S 2768.JPG","4.0"
"JR_FrgE.S 2769.JPG","4.0"
"JR_FrgE.S 2770.JPG","4.0"
"JR_FrgE.S 2771.JPG","5.0"
"JR_FrgE.S 2772.JPG","5.0"
"JR_FrgE.S 2773.JPG","5.0"
"JR_FrgE.S 2774.JPG","5.0"
"JR_FrgE.S 2775.JPG","5.0"
"JR_FrgE.S 2776.JPG","5.0"
"JR_FrgE.S 2777.JPG","5.0"
"JR_FrgE.S 2778.JPG","5.0"
"JR_FrgE.S 2779.JPG","5.0"
"JR_FrgE.S 2780.JPG","5.0"
"JR_FrgE.S 2781.JPG","5.0"
"JR_FrgE.S 2782.JPG","6.0"
"JR_FrgE.S 2783.JPG","6.0"
"JR_FrgE.S 2784.JPG","6.0"
"JR_FrgE.S 2785.JPG","6.0"
"JR_FrgE.S 2786.JPG","6.0"
"JR_FrgE.S 2787.JPG","6.0"
"JR_FrgE.S 2788.JPG","6.0"
"JR_FrgE.S 2789.JPG","6.0"
"JR_FrgE.S 2790.JPG","6.0"
"JR_FrgE.S 2791.JPG","6.0"
"JR_FrgE.S 2792.JPG","6.0"
"JR_FrgE.S 2793.JPG","6.0"
"JR_FrgE.S 2794.JPG","7.0"
"JR_FrgE.S 2795.JPG","7.0"
"JR_FrgE.S 2796.JPG","7.0"
"JR_FrgE.S 2797.JPG","7.0"
"JR_FrgE.S 2798.JPG","7.0"
"JR_FrgE.S 2799.JPG","7.0"
"JR_FrgE.S 2800.JPG","7.0"
"JR_FrgE.S 2801.JPG","7.0"
"JR_FrgE.S 2802.JPG","7.0"
"JR_FrgE.S 2803.JPG","7.0"
"JR_FrgE.S 2804.JPG","7.0"
"JR_FrgE.S 2805.JPG","7.0"
"JR_FrgE.S 2806.JPG","7.0"
"JR_FrgE.S 2807.JPG","7.0"
"JR_FrgE.S 2808.JPG","7.0"
"JR_FrgE.S 2809.JPG","7.0"
"JR_FrgE.S 2810.JPG","7.0"
"JR_FrgE.S 2811.JPG","7.0"
"JR_FrgE.S 2812.JPG","7.0"
"JR_FrgE.S 2813.JPG","8.0"
"JR_FrgE.S 2814.JPG","8.0"
"JR_FrgE.S 2815.JPG","8.0"
"JR_FrgE.S 2816.JPG","8.0"
"JR_FrgE.S 2817.JPG","8.0"
"JR_FrgE.S 2818.JPG","8.0"
"JR_FrgE.S 2819.JPG","8.0"
"JR_FrgE.S 2820.JPG","8.0"
"JR_FrgE.S 2821.JPG","8.0"
"JR_FrgE.S 2822.JPG","8.0"
"JR_FrgE.S 2823.JPG","8.0"
