"File Name","Leaf #"
"FAM_B.Rot 0323.JPG","1.0"
"FAM_B.Rot 0324.JPG","1.0"
"FAM_B.Rot 0325.JPG","1.0"
"FAM_B.Rot 0326.JPG","1.0"
"FAM_B.Rot 0327.JPG","2.0"
"FAM_B.Rot 0328.JPG","2.0"
"FAM_B.Rot 0329.JPG","2.0"
"FAM_B.Rot 0330.JPG","2.0"
"FAM_B.Rot 0331.JPG","3.0"
"FAM_B.Rot 0332.JPG","3.0"
"FAM_B.Rot 0333.JPG","3.0"
"FAM_B.Rot 0334.JPG","3.0"
"FAM_B.Rot 0335.JPG","4.0"
"FAM_B.Rot 0336.JPG","4.0"
"FAM_B.Rot 0337.JPG","4.0"
"FAM_B.Rot 0338.JPG","4.0"
"FAM_B.Rot 0339.JPG","5.0"
"FAM_B.Rot 0340.JPG","5.0"
"FAM_B.Rot 0341.JPG","5.0"
"FAM_B.Rot 0342.JPG","5.0"
"FAM_B.Rot 0343.JPG","6.0"
"FAM_B.Rot 0344.JPG","6.0"
"FAM_B.Rot 0345.JPG","6.0"
"FAM_B.Rot 0346.JPG","6.0"
"FAM_B.Rot 0347.JPG","7.0"
"FAM_B.Rot 0348.JPG","7.0"
"FAM_B.Rot 0349.JPG","7.0"
"FAM_B.Rot 0350.JPG","7.0"
"FAM_B.Rot 0351.JPG","8.0"
"FAM_B.Rot 0352.JPG","8.0"
"FAM_B.Rot 0353.JPG","8.0"
"FAM_B.Rot 0354.JPG","8.0"
"FAM_B.Rot 0355.JPG","9.0"
"FAM_B.Rot 0356.JPG","9.0"
"FAM_B.Rot 0357.JPG","9.0"
"FAM_B.Rot 0358.JPG","9.0"
"FAM_B.Rot 0359.JPG","10.0"
"FAM_B.Rot 0360.JPG","10.0"
"FAM_B.Rot 0361.JPG","10.0"
"FAM_B.Rot 0362.JPG","10.0"
"FAM_B.Rot 0363.JPG","11.0"
"FAM_B.Rot 0364.JPG","11.0"
"FAM_B.Rot 0365.JPG","11.0"
"FAM_B.Rot 0366.JPG","11.0"
"FAM_B.Rot 0367.JPG","12.0"
"FAM_B.Rot 0368.JPG","12.0"
"FAM_B.Rot 0369.JPG","12.0"
