"File Name","Leaf #"
"UF.Citrus_HLB_Lab 0001.JPG","1.0"
"UF.Citrus_HLB_Lab 0002.JPG","1.0"
"UF.Citrus_HLB_Lab 0003.JPG","1.0"
"UF.Citrus_HLB_Lab 0004.JPG","1.0"
"UF.Citrus_HLB_Lab 0005.JPG","1.0"
"UF.Citrus_HLB_Lab 0006.JPG","2.0"
"UF.Citrus_HLB_Lab 0007.JPG","2.0"
"UF.Citrus_HLB_Lab 0008.JPG","2.0"
"UF.Citrus_HLB_Lab 0009.JPG","2.0"
"UF.Citrus_HLB_Lab 0010.JPG","2.0"
"UF.Citrus_HLB_Lab 0011.JPG","2.0"
"UF.Citrus_HLB_Lab 0012.JPG","2.0"
"UF.Citrus_HLB_Lab 0013.JPG","2.0"
"UF.Citrus_HLB_Lab 0014.JPG","2.0"
"UF.Citrus_HLB_Lab 0015.JPG","2.0"
"UF.Citrus_HLB_Lab 0016.JPG","3.0"
"UF.Citrus_HLB_Lab 0017.JPG","3.0"
"UF.Citrus_HLB_Lab 0018.JPG","3.0"
"UF.Citrus_HLB_Lab 0019.JPG","3.0"
"UF.Citrus_HLB_Lab 0020.JPG","3.0"
"UF.Citrus_HLB_Lab 0021.JPG","3.0"
"UF.Citrus_HLB_Lab 0022.JPG","3.0"
"UF.Citrus_HLB_Lab 0023.JPG","3.0"
"UF.Citrus_HLB_Lab 0024.JPG","3.0"
"UF.Citrus_HLB_Lab 0025.JPG","3.0"
"UF.Citrus_HLB_Lab 0026.JPG","4.0"
"UF.Citrus_HLB_Lab 0027.JPG","4.0"
"UF.Citrus_HLB_Lab 0028.JPG","4.0"
"UF.Citrus_HLB_Lab 0029.JPG","4.0"
"UF.Citrus_HLB_Lab 0030.JPG","4.0"
"UF.Citrus_HLB_Lab 0031.JPG","4.0"
"UF.Citrus_HLB_Lab 0032.JPG","4.0"
"UF.Citrus_HLB_Lab 0033.JPG","4.0"
"UF.Citrus_HLB_Lab 0034.JPG","4.0"
"UF.Citrus_HLB_Lab 0035.JPG","4.0"
"UF.Citrus_HLB_Lab 0036.JPG","5.0"
"UF.Citrus_HLB_Lab 0037.JPG","5.0"
"UF.Citrus_HLB_Lab 0038.JPG","5.0"
"UF.Citrus_HLB_Lab 0039.JPG","5.0"
"UF.Citrus_HLB_Lab 0040.JPG","5.0"
"UF.Citrus_HLB_Lab 0041.JPG","5.0"
"UF.Citrus_HLB_Lab 0042.JPG","5.0"
"UF.Citrus_HLB_Lab 0043.JPG","5.0"
"UF.Citrus_HLB_Lab 0044.JPG","5.0"
"UF.Citrus_HLB_Lab 0045.JPG","5.0"
"UF.Citrus_HLB_Lab 0046.JPG","6.0"
"UF.Citrus_HLB_Lab 0047.JPG","6.0"
"UF.Citrus_HLB_Lab 0048.JPG","6.0"
"UF.Citrus_HLB_Lab 0049.JPG","6.0"
"UF.Citrus_HLB_Lab 0050.JPG","6.0"
"UF.Citrus_HLB_Lab 0051.JPG","6.0"
"UF.Citrus_HLB_Lab 0052.JPG","6.0"
"UF.Citrus_HLB_Lab 0053.JPG","6.0"
"UF.Citrus_HLB_Lab 0054.JPG","6.0"
"UF.Citrus_HLB_Lab 0055.JPG","6.0"
"UF.Citrus_HLB_Lab 0056.JPG","7.0"
"UF.Citrus_HLB_Lab 0057.JPG","7.0"
"UF.Citrus_HLB_Lab 0058.JPG","7.0"
"UF.Citrus_HLB_Lab 0059.JPG","7.0"
"UF.Citrus_HLB_Lab 0060.JPG","7.0"
"UF.Citrus_HLB_Lab 0061.JPG","7.0"
"UF.Citrus_HLB_Lab 0062.JPG","7.0"
"UF.Citrus_HLB_Lab 0063.JPG","7.0"
"UF.Citrus_HLB_Lab 0064.JPG","7.0"
"UF.Citrus_HLB_Lab 0065.JPG","7.0"
"UF.Citrus_HLB_Lab 0066.JPG","8.0"
"UF.Citrus_HLB_Lab 0067.JPG","8.0"
"UF.Citrus_HLB_Lab 0068.JPG","8.0"
"UF.Citrus_HLB_Lab 0069.JPG","8.0"
"UF.Citrus_HLB_Lab 0070.JPG","8.0"
"UF.Citrus_HLB_Lab 0071.JPG","8.0"
"UF.Citrus_HLB_Lab 0072.JPG","8.0"
