"File Name","Leaf #"
"GCREC_Bact.Sp 2946.JPG","1.0"
"GCREC_Bact.Sp 2947.JPG","1.0"
"GCREC_Bact.Sp 2948.JPG","1.0"
"GCREC_Bact.Sp 2949.JPG","1.0"
"GCREC_Bact.Sp 2950.JPG","2.0"
"GCREC_Bact.Sp 2951.JPG","2.0"
"GCREC_Bact.Sp 2952.JPG","2.0"
"GCREC_Bact.Sp 2953.JPG","2.0"
"GCREC_Bact.Sp 2954.JPG","3.0"
"GCREC_Bact.Sp 2955.JPG","3.0"
"GCREC_Bact.Sp 2956.JPG","3.0"
"GCREC_Bact.Sp 2957.JPG","3.0"
"GCREC_Bact.Sp 2958.JPG","4.0"
"GCREC_Bact.Sp 2959.JPG","4.0"
"GCREC_Bact.Sp 2960.JPG","4.0"
"GCREC_Bact.Sp 2961.JPG","4.0"
"GCREC_Bact.Sp 2962.JPG","5.0"
"GCREC_Bact.Sp 2963.JPG","5.0"
"GCREC_Bact.Sp 2964.JPG","5.0"
"GCREC_Bact.Sp 2965.JPG","5.0"
"GCREC_Bact.Sp 2966.JPG","6.0"
"GCREC_Bact.Sp 2967.JPG","6.0"
"GCREC_Bact.Sp 2968.JPG","6.0"
"GCREC_Bact.Sp 2969.JPG","6.0"
"GCREC_Bact.Sp 2970.JPG","7.0"
"GCREC_Bact.Sp 2971.JPG","7.0"
"GCREC_Bact.Sp 2972.JPG","7.0"
"GCREC_Bact.Sp 2973.JPG","7.0"
"GCREC_Bact.Sp 2974.JPG","8.0"
"GCREC_Bact.Sp 2975.JPG","8.0"
"GCREC_Bact.Sp 2976.JPG","8.0"
"GCREC_Bact.Sp 2977.JPG","8.0"
"GCREC_Bact.Sp 2978.JPG","9.0"
"GCREC_Bact.Sp 2979.JPG","9.0"
"GCREC_Bact.Sp 2980.JPG","9.0"
"GCREC_Bact.Sp 2981.JPG","9.0"
"GCREC_Bact.Sp 2982.JPG","10.0"
"GCREC_Bact.Sp 2983.JPG","10.0"
"GCREC_Bact.Sp 2984.JPG","10.0"
"GCREC_Bact.Sp 2985.JPG","10.0"
"GCREC_Bact.Sp 2986.JPG","11.0"
