"File Name","Leaf #"
"RS_Erly.B 6330.JPG","1.0"
"RS_Erly.B 6331.JPG","1.0"
"RS_Erly.B 6332.JPG","1.0"
"RS_Erly.B 6333.JPG","1.0"
"RS_Erly.B 6336.JPG","2.0"
"RS_Erly.B 6337.JPG","2.0"
"RS_Erly.B 6339.JPG","2.0"
"RS_Erly.B 6340.JPG","2.0"
"RS_Erly.B 6341 (Kelsee Baranowski's conflicted copy 2015-10-06).JPG","2.0"
"RS_Erly.B 6342.JPG","3.0"
"RS_Erly.B 6343.JPG","3.0"
"RS_Erly.B 6345.JPG","3.0"
"RS_Erly.B 6346.JPG","3.0"
"RS_Erly.B 6348.JPG","4.0"
"RS_Erly.B 6349.JPG","4.0"
"RS_Erly.B 6350.JPG","4.0"
"RS_Erly.B 6351.JPG","4.0"
"RS_Erly.B 6354.JPG","5.0"
"RS_Erly.B 6355.JPG","5.0"
"RS_Erly.B 6356.JPG","5.0"
"RS_Erly.B 6358.JPG","5.0"
"RS_Erly.B 6359.JPG","6.0"
"RS_Erly.B 6360.JPG","6.0"
"RS_Erly.B 6361.JPG","6.0"
"RS_Erly.B 6363.JPG","6.0"
"RS_Erly.B 6365.JPG","7.0"
"RS_Erly.B 6367.JPG","7.0"
"RS_Erly.B 6369.JPG","7.0"
"RS_Erly.B 6370.JPG","7.0"
"RS_Erly.B 6372.JPG","8.0"
"RS_Erly.B 6373.JPG","8.0"
"RS_Erly.B 6375.JPG","8.0"
"RS_Erly.B 6376.JPG","8.0"
"RS_Erly.B 6377.JPG","9.0"
"RS_Erly.B 6378.JPG","9.0"
"RS_Erly.B 6381.JPG","9.0"
"RS_Erly.B 6382.JPG","9.0"
"RS_Erly.B 6385.JPG","10.0"
"RS_Erly.B 6386.JPG","10.0"
"RS_Erly.B 6387.JPG","10.0"
"RS_Erly.B 6388.JPG","10.0"
"RS_Erly.B 6390.JPG","11.0"
"RS_Erly.B 6391.JPG","11.0"
"RS_Erly.B 6392.JPG","11.0"
"RS_Erly.B 6394.JPG","11.0"
"RS_Erly.B 6395.JPG","12.0"
"RS_Erly.B 6397.JPG","12.0"
"RS_Erly.B 6399.JPG","12.0"
"RS_Erly.B 6400.JPG","12.0"
"RS_Erly.B 6401.JPG","13.0"
"RS_Erly.B 6403.JPG","13.0"
"RS_Erly.B 6405.JPG","13.0"
"RS_Erly.B 6406.JPG","13.0"
"RS_Erly.B 6407.JPG","14.0"
"RS_Erly.B 6408.JPG","14.0"
"RS_Erly.B 6409.JPG","14.0"
"RS_Erly.B 6411.JPG","14.0"
"RS_Erly.B 6413.JPG","15.0"
"RS_Erly.B 6415.JPG","15.0"
"RS_Erly.B 6416.JPG","15.0"
"RS_Erly.B 6418.JPG","15.0"
"RS_Erly.B 6419.JPG","16.0"
"RS_Erly.B 6420.JPG","16.0"
"RS_Erly.B 6422.JPG","16.0"
"RS_Erly.B 6424.JPG","16.0"
"RS_Erly.B 6425.JPG","17.0"
"RS_Erly.B 6426.JPG","17.0"
"RS_Erly.B 6427.JPG","17.0"
"RS_Erly.B 6429.JPG","17.0"
"RS_Erly.B 6430.JPG","18.0"
"RS_Erly.B 6432.JPG","18.0"
"RS_Erly.B 6434.JPG","18.0"
"RS_Erly.B 6435.JPG","18.0"
"RS_Erly.B 6436.JPG","19.0"
"RS_Erly.B 6437.JPG","19.0"
"RS_Erly.B 6439.JPG","19.0"
"RS_Erly.B 6440.JPG","19.0"
"RS_Erly.B 6442.JPG","20.0"
"RS_Erly.B 6445.JPG","20.0"
"RS_Erly.B 6446.JPG","20.0"
"RS_Erly.B 6447.JPG","20.0"
"RS_Erly.B 6448.JPG","21.0"
"RS_Erly.B 6449.JPG","21.0"
"RS_Erly.B 6450.JPG","21.0"
"RS_Erly.B 6452.JPG","21.0"
"RS_Erly.B 6453.JPG","22.0"
"RS_Erly.B 6454.JPG","22.0"
"RS_Erly.B 6456.JPG","22.0"
"RS_Erly.B 6458.JPG","22.0"
"RS_Erly.B 6459.JPG","23.0"
"RS_Erly.B 6460.JPG","23.0"
"RS_Erly.B 6462.JPG","23.0"
"RS_Erly.B 6463.JPG","23.0"
"RS_Erly.B 6466.JPG","24.0"
"RS_Erly.B 6468.JPG","24.0"
"RS_Erly.B 6469.JPG","24.0"
"RS_Erly.B 6470.JPG","24.0"
"RS_Erly.B 6471.JPG","25.0"
"RS_Erly.B 6472.JPG","25.0"
"RS_Erly.B 6473.JPG","25.0"
"RS_Erly.B 6475.JPG","25.0"
"RS_Erly.B 6476.JPG","26.0"
"RS_Erly.B 6477.JPG","26.0"
"RS_Erly.B 6478.JPG","26.0"
"RS_Erly.B 6479.JPG","26.0"
"RS_Erly.B 6481.JPG","27.0"
"RS_Erly.B 6482.JPG","27.0"
"RS_Erly.B 6483.JPG","27.0"
"RS_Erly.B 6485.JPG","27.0"
"RS_Erly.B 6487.JPG","28.0"
"RS_Erly.B 6488.JPG","28.0"
"RS_Erly.B 6489.JPG","28.0"
"RS_Erly.B 6490.JPG","28.0"
"RS_Erly.B 6491.JPG","29.0"
"RS_Erly.B 6492.JPG","29.0"
"RS_Erly.B 6494.JPG","29.0"
"RS_Erly.B 6495.JPG","29.0"
"RS_Erly.B 6662.JPG","30.0"
"RS_Erly.B 6663.JPG","30.0"
"RS_Erly.B 6665.JPG","30.0"
"RS_Erly.B 6669.JPG","30.0"
"RS_Erly.B 7345.JPG","31.0"
"RS_Erly.B 7346.JPG","31.0"
"RS_Erly.B 7347.JPG","31.0"
"RS_Erly.B 7348.JPG","31.0"
"RS_Erly.B 7349.JPG","32.0"
"RS_Erly.B 7350.JPG","32.0"
"RS_Erly.B 7351.JPG","32.0"
"RS_Erly.B 7352.JPG","32.0"
"RS_Erly.B 7353.JPG","33.0"
"RS_Erly.B 7354.JPG","33.0"
"RS_Erly.B 7355.JPG","33.0"
"RS_Erly.B 7356.JPG","33.0"
"RS_Erly.B 7357.JPG","34.0"
"RS_Erly.B 7358.JPG","34.0"
"RS_Erly.B 7359.JPG","34.0"
"RS_Erly.B 7360.JPG","34.0"
"RS_Erly.B 7362.JPG","35.0"
"RS_Erly.B 7363.JPG","35.0"
"RS_Erly.B 7364.JPG","35.0"
"RS_Erly.B 7365.JPG","35.0"
"RS_Erly.B 7366.JPG","36.0"
"RS_Erly.B 7367.JPG","36.0"
"RS_Erly.B 7368.JPG","36.0"
"RS_Erly.B 7369.JPG","36.0"
"RS_Erly.B 7370.JPG","37.0"
"RS_Erly.B 7371.JPG","37.0"
"RS_Erly.B 7372.JPG","37.0"
"RS_Erly.B 7373.JPG","37.0"
"RS_Erly.B 7374.JPG","38.0"
"RS_Erly.B 7378.JPG","38.0"
"RS_Erly.B 7380.JPG","38.0"
"RS_Erly.B 7381.JPG","38.0"
"RS_Erly.B 7382.JPG","39.0"
"RS_Erly.B 7383.JPG","39.0"
"RS_Erly.B 7384.JPG","39.0"
"RS_Erly.B 7385.JPG","39.0"
"RS_Erly.B 7386.JPG","40.0"
"RS_Erly.B 7387.JPG","40.0"
"RS_Erly.B 7388.JPG","40.0"
"RS_Erly.B 7389.JPG","40.0"
"RS_Erly.B 7390.JPG","41.0"
"RS_Erly.B 7391.JPG","41.0"
"RS_Erly.B 7392.JPG","41.0"
"RS_Erly.B 7393.JPG","41.0"
"RS_Erly.B 7394.JPG","42.0"
"RS_Erly.B 7395.JPG","42.0"
"RS_Erly.B 7396.JPG","42.0"
"RS_Erly.B 7397.JPG","42.0"
"RS_Erly.B 7398.JPG","43.0"
"RS_Erly.B 7399.JPG","43.0"
"RS_Erly.B 7400.JPG","43.0"
"RS_Erly.B 7401.JPG","43.0"
"RS_Erly.B 7402.JPG","44.0"
"RS_Erly.B 7403.JPG","44.0"
"RS_Erly.B 7404.JPG","44.0"
"RS_Erly.B 7405.JPG","44.0"
"RS_Erly.B 7406.JPG","45.0"
"RS_Erly.B 7407.JPG","45.0"
"RS_Erly.B 7408.JPG","45.0"
"RS_Erly.B 7409.JPG","45.0"
"RS_Erly.B 7410.JPG","46.0"
