"File Name","Leaf #"
"FREC_Scab 2907.JPG","1.0"
"FREC_Scab 2908.JPG","1.0"
"FREC_Scab 2909.JPG","1.0"
"FREC_Scab 2910.JPG","1.0"
"FREC_Scab 2911.JPG","1.0"
"FREC_Scab 2912.JPG","2.0"
"FREC_Scab 2913.JPG","2.0"
"FREC_Scab 2914.JPG","2.0"
"FREC_Scab 2915.JPG","2.0"
"FREC_Scab 2916.JPG","3.0"
"FREC_Scab 2917.JPG","3.0"
"FREC_Scab 2918.JPG","3.0"
"FREC_Scab 2919.JPG","3.0"
"FREC_Scab 2920.JPG","4.0"
"FREC_Scab 2921.JPG","4.0"
"FREC_Scab 2922.JPG","4.0"
"FREC_Scab 2923.JPG","4.0"
"FREC_Scab 2924.JPG","4.0"
"FREC_Scab 2925.JPG","5.0"
"FREC_Scab 2927.JPG","5.0"
"FREC_Scab 2928.JPG","5.0"
"FREC_Scab 2929.JPG","5.0"
"FREC_Scab 2930.JPG","6.0"
"FREC_Scab 2931.JPG","6.0"
"FREC_Scab 2932.JPG","6.0"
"FREC_Scab 2933.JPG","6.0"
"FREC_Scab 2934.JPG","6.0"
"FREC_Scab 2935.JPG","6.0"
"FREC_Scab 2936.JPG","7.0"
"FREC_Scab 2937.JPG","7.0"
"FREC_Scab 2938.JPG","7.0"
"FREC_Scab 2939.JPG","7.0"
"FREC_Scab 2940.JPG","8.0"
"FREC_Scab 2941.JPG","8.0"
"FREC_Scab 2942.JPG","8.0"
"FREC_Scab 2943.JPG","8.0"
"FREC_Scab 2944.JPG","8.0"
"FREC_Scab 2945.JPG","9.0"
"FREC_Scab 2946.JPG","9.0"
"FREC_Scab 2947.JPG","9.0"
"FREC_Scab 2948.JPG","9.0"
"FREC_Scab 2949.JPG","10.0"
"FREC_Scab 2950.JPG","10.0"
"FREC_Scab 2951.JPG","10.0"
"FREC_Scab 2952.JPG","10.0"
"FREC_Scab 2953.JPG","10.0"
"FREC_Scab 2954.JPG","11.0"
"FREC_Scab 2955.JPG","11.0"
"FREC_Scab 2956.JPG","11.0"
"FREC_Scab 2957.JPG","11.0"
"FREC_Scab 2958.JPG","11.0"
"FREC_Scab 2959.JPG","11.0"
"FREC_Scab 2960.JPG","12.0"
"FREC_Scab 2961.JPG","12.0"
"FREC_Scab 2962.JPG","12.0"
"FREC_Scab 2963.JPG","12.0"
"FREC_Scab 2964.JPG","12.0"
"FREC_Scab 2965.JPG","12.0"
"FREC_Scab 2966.JPG","13.0"
"FREC_Scab 2967.JPG","13.0"
"FREC_Scab 2968.JPG","13.0"
"FREC_Scab 2969.JPG","13.0"
"FREC_Scab 2970.JPG","13.0"
"FREC_Scab 2971.JPG","14.0"
"FREC_Scab 2972.JPG","14.0"
"FREC_Scab 2973.JPG","14.0"
"FREC_Scab 2974.JPG","14.0"
"FREC_Scab 2975.JPG","14.0"
"FREC_Scab 2976.JPG","15.0"
"FREC_Scab 2977.JPG","15.0"
"FREC_Scab 2978.JPG","15.0"
"FREC_Scab 2979.JPG","15.0"
"FREC_Scab 2980.JPG","15.0"
"FREC_Scab 2981.JPG","15.0"
"FREC_Scab 2982.JPG","16.0"
"FREC_Scab 2983.JPG","16.0"
"FREC_Scab 2984.JPG","16.0"
"FREC_Scab 2985.JPG","16.0"
"FREC_Scab 2986.JPG","16.0"
"FREC_Scab 2987.JPG","16.0"
"FREC_Scab 2988.JPG","17.0"
"FREC_Scab 2989.JPG","17.0"
"FREC_Scab 2990.JPG","17.0"
"FREC_Scab 2991.JPG","17.0"
"FREC_Scab 2992.JPG","17.0"
"FREC_Scab 2993.JPG","17.0"
"FREC_Scab 2994.JPG","17.0"
"FREC_Scab 2995.JPG","18.0"
"FREC_Scab 2996.JPG","18.0"
"FREC_Scab 2997.JPG","18.0"
"FREC_Scab 2998.JPG","18.0"
"FREC_Scab 2999.JPG","18.0"
"FREC_Scab 3000.JPG","18.0"
"FREC_Scab 3001.JPG","18.0"
"FREC_Scab 3002.JPG","19.0"
"FREC_Scab 3003.JPG","19.0"
"FREC_Scab 3004.JPG","19.0"
"FREC_Scab 3005.JPG","19.0"
"FREC_Scab 3006.JPG","19.0"
"FREC_Scab 3007.JPG","19.0"
"FREC_Scab 3008.JPG","19.0"
"FREC_Scab 3009.JPG","20.0"
"FREC_Scab 3010.JPG","20.0"
"FREC_Scab 3011.JPG","20.0"
"FREC_Scab 3012.JPG","20.0"
"FREC_Scab 3013.JPG","20.0"
"FREC_Scab 3014.JPG","20.0"
"FREC_Scab 3015.JPG","21.0"
"FREC_Scab 3016.JPG","21.0"
"FREC_Scab 3017.JPG","21.0"
"FREC_Scab 3018.JPG","21.0"
"FREC_Scab 3019.JPG","21.0"
