"File Name","Leaf #"
"Rut._Bact.S 0740.JPG","1.0"
"Rut._Bact.S 0741.JPG","1.0"
"Rut._Bact.S 0742.JPG","1.0"
"Rut._Bact.S 0743.JPG","1.0"
"Rut._Bact.S 0744.JPG","1.0"
"Rut._Bact.S 0745.JPG","1.0"
"Rut._Bact.S 0746.JPG","2.0"
"Rut._Bact.S 0747.JPG","2.0"
"Rut._Bact.S 0748.JPG","2.0"
"Rut._Bact.S 0749.JPG","2.0"
"Rut._Bact.S 0750.JPG","2.0"
"Rut._Bact.S 0751.JPG","3.0"
"Rut._Bact.S 0752.JPG","3.0"
"Rut._Bact.S 0753.JPG","3.0"
"Rut._Bact.S 0754.JPG","3.0"
"Rut._Bact.S 0755.JPG","3.0"
"Rut._Bact.S 0756.JPG","3.0"
"Rut._Bact.S 0757.JPG","4.0"
"Rut._Bact.S 0758.JPG","4.0"
"Rut._Bact.S 0759.JPG","4.0"
"Rut._Bact.S 0760.JPG","4.0"
"Rut._Bact.S 0761.JPG","4.0"
"Rut._Bact.S 0762.JPG","4.0"
"Rut._Bact.S 0763.JPG","5.0"
"Rut._Bact.S 0764.JPG","5.0"
"Rut._Bact.S 0765.JPG","5.0"
"Rut._Bact.S 0766.JPG","5.0"
"Rut._Bact.S 0767.JPG","5.0"
"Rut._Bact.S 0768.JPG","5.0"
"Rut._Bact.S 0769.JPG","6.0"
"Rut._Bact.S 0770.JPG","6.0"
"Rut._Bact.S 0771.JPG","6.0"
"Rut._Bact.S 0772.JPG","6.0"
"Rut._Bact.S 0773.JPG","6.0"
"Rut._Bact.S 0774.JPG","6.0"
"Rut._Bact.S 0775.JPG","7.0"
"Rut._Bact.S 0776.JPG","7.0"
"Rut._Bact.S 0777.JPG","7.0"
"Rut._Bact.S 0778.JPG","7.0"
"Rut._Bact.S 0779.JPG","7.0"
"Rut._Bact.S 0780.JPG","8.0"
"Rut._Bact.S 0781.JPG","8.0"
"Rut._Bact.S 0782.JPG","8.0"
"Rut._Bact.S 0783.JPG","8.0"
"Rut._Bact.S 0784.JPG","8.0"
"Rut._Bact.S 0785.JPG","8.0"
"Rut._Bact.S 0786.JPG","9.0"
"Rut._Bact.S 0787.JPG","9.0"
"Rut._Bact.S 0788.JPG","9.0"
"Rut._Bact.S 0789.JPG","9.0"
"Rut._Bact.S 0790.JPG","9.0"
"Rut._Bact.S 0791.JPG","9.0"
"Rut._Bact.S 0792.JPG","10.0"
"Rut._Bact.S 0793.JPG","10.0"
"Rut._Bact.S 0794.JPG","10.0"
"Rut._Bact.S 0795.JPG","10.0"
"Rut._Bact.S 0796.JPG","10.0"
"Rut._Bact.S 0797.JPG","10.0"
"Rut._Bact.S 0798.JPG","11.0"
"Rut._Bact.S 0799.JPG","11.0"
"Rut._Bact.S 0800.JPG","11.0"
"Rut._Bact.S 0801.JPG","11.0"
"Rut._Bact.S 0802.JPG","11.0"
"Rut._Bact.S 0803.JPG","11.0"
"Rut._Bact.S 0804.JPG","12.0"
"Rut._Bact.S 0805.JPG","12.0"
"Rut._Bact.S 0806.JPG","12.0"
"Rut._Bact.S 0807.JPG","12.0"
"Rut._Bact.S 0808.JPG","12.0"
"Rut._Bact.S 0809.JPG","12.0"
"Rut._Bact.S 0810.JPG","13.0"
"Rut._Bact.S 0811.JPG","13.0"
"Rut._Bact.S 0812.JPG","13.0"
"Rut._Bact.S 0813.JPG","13.0"
"Rut._Bact.S 0814.JPG","13.0"
"Rut._Bact.S 0815.JPG","13.0"
"Rut._Bact.S 0816.JPG","14.0"
"Rut._Bact.S 0817.JPG","14.0"
"Rut._Bact.S 0818.JPG","14.0"
"Rut._Bact.S 0819.JPG","14.0"
"Rut._Bact.S 0820.JPG","14.0"
"Rut._Bact.S 0821.JPG","14.0"
"Rut._Bact.S 0822.JPG","15.0"
"Rut._Bact.S 0823.JPG","15.0"
"Rut._Bact.S 0824.JPG","15.0"
"Rut._Bact.S 0825.JPG","15.0"
"Rut._Bact.S 0826.JPG","15.0"
"Rut._Bact.S 0827.JPG","15.0"
"Rut._Bact.S 0828.JPG","16.0"
