"File Name","Leaf #"
"JR_B.Spot 3097.JPG","1.0"
"JR_B.Spot 3098.JPG","1.0"
"JR_B.Spot 3099.JPG","1.0"
"JR_B.Spot 3100.JPG","1.0"
"JR_B.Spot 3101.JPG","1.0"
"JR_B.Spot 3103.JPG","1.0"
"JR_B.Spot 3104.JPG","1.0"
"JR_B.Spot 3105.JPG","1.0"
"JR_B.Spot 3106.JPG","1.0"
"JR_B.Spot 3107.JPG","1.0"
"JR_B.Spot 3108.JPG","1.0"
"JR_B.Spot 3109.JPG","1.0"
"JR_B.Spot 3110.JPG","2.0"
"JR_B.Spot 3111.JPG","2.0"
"JR_B.Spot 3112.JPG","2.0"
"JR_B.Spot 3113.JPG","2.0"
"JR_B.Spot 3114.JPG","2.0"
"JR_B.Spot 3115.JPG","2.0"
"JR_B.Spot 3116.JPG","2.0"
"JR_B.Spot 3117.JPG","2.0"
"JR_B.Spot 3118.JPG","2.0"
"JR_B.Spot 3119.JPG","2.0"
"JR_B.Spot 3120.JPG","2.0"
"JR_B.Spot 3121.JPG","2.0"
"JR_B.Spot 3122.JPG","3.0"
"JR_B.Spot 3123.JPG","3.0"
"JR_B.Spot 3124.JPG","3.0"
"JR_B.Spot 3125.JPG","3.0"
"JR_B.Spot 3126.JPG","3.0"
"JR_B.Spot 3127.JPG","3.0"
"JR_B.Spot 3128.JPG","3.0"
"JR_B.Spot 3129.JPG","3.0"
"JR_B.Spot 3130.JPG","3.0"
"JR_B.Spot 3131.JPG","3.0"
"JR_B.Spot 3132.JPG","3.0"
"JR_B.Spot 3133.JPG","3.0"
"JR_B.Spot 3134.JPG","3.0"
"JR_B.Spot 3135.JPG","3.0"
"JR_B.Spot 3136.JPG","3.0"
"JR_B.Spot 3137.JPG","4.0"
"JR_B.Spot 3138.JPG","4.0"
"JR_B.Spot 3139.JPG","4.0"
"JR_B.Spot 3140.JPG","4.0"
"JR_B.Spot 3141.JPG","4.0"
"JR_B.Spot 3142.JPG","4.0"
"JR_B.Spot 3143.JPG","4.0"
"JR_B.Spot 3144.JPG","4.0"
"JR_B.Spot 3145.JPG","4.0"
"JR_B.Spot 3146.JPG","4.0"
"JR_B.Spot 3147.JPG","4.0"
"JR_B.Spot 3148.JPG","5.0"
"JR_B.Spot 3149.JPG","5.0"
"JR_B.Spot 3150.JPG","5.0"
"JR_B.Spot 3151.JPG","5.0"
"JR_B.Spot 3152.JPG","5.0"
"JR_B.Spot 3153.JPG","5.0"
"JR_B.Spot 3154.JPG","5.0"
"JR_B.Spot 3155.JPG","5.0"
"JR_B.Spot 3156.JPG","5.0"
"JR_B.Spot 3157.JPG","5.0"
"JR_B.Spot 3158.JPG","5.0"
"JR_B.Spot 3159.JPG","5.0"
"JR_B.Spot 3160.JPG","5.0"
"JR_B.Spot 3161.JPG","5.0"
"JR_B.Spot 3162.JPG","5.0"
"JR_B.Spot 3163.JPG","5.0"
"JR_B.Spot 3164.JPG","6.0"
"JR_B.Spot 3165.JPG","6.0"
"JR_B.Spot 3166.JPG","6.0"
"JR_B.Spot 3167.JPG","6.0"
"JR_B.Spot 3168.JPG","6.0"
"JR_B.Spot 3169.JPG","6.0"
"JR_B.Spot 3170.JPG","6.0"
"JR_B.Spot 3171.JPG","6.0"
"JR_B.Spot 3172.JPG","6.0"
"JR_B.Spot 3173.JPG","6.0"
"JR_B.Spot 3174.JPG","6.0"
"JR_B.Spot 3175.JPG","6.0"
"JR_B.Spot 3176.JPG","6.0"
"JR_B.Spot 3177.JPG","7.0"
"JR_B.Spot 3178.JPG","7.0"
"JR_B.Spot 3179.JPG","7.0"
"JR_B.Spot 3180.JPG","7.0"
"JR_B.Spot 3181.JPG","7.0"
"JR_B.Spot 3182.JPG","7.0"
"JR_B.Spot 3183.JPG","7.0"
"JR_B.Spot 3184.JPG","7.0"
"JR_B.Spot 3185.JPG","7.0"
"JR_B.Spot 3186.JPG","7.0"
"JR_B.Spot 3187.JPG","8.0"
"JR_B.Spot 3188.JPG","8.0"
"JR_B.Spot 3189.JPG","8.0"
"JR_B.Spot 3190.JPG","8.0"
"JR_B.Spot 3191.JPG","8.0"
"JR_B.Spot 3192.JPG","8.0"
"JR_B.Spot 3193.JPG","8.0"
"JR_B.Spot 3194.JPG","8.0"
"JR_B.Spot 3195.JPG","8.0"
"JR_B.Spot 3196.JPG","8.0"
"JR_B.Spot 3197.JPG","8.0"
"JR_B.Spot 3198.JPG","8.0"
"JR_B.Spot 3199.JPG","8.0"
"JR_B.Spot 3200.JPG","9.0"
"JR_B.Spot 3201.JPG","9.0"
"JR_B.Spot 3202.JPG","9.0"
"JR_B.Spot 3203.JPG","9.0"
"JR_B.Spot 3204.JPG","9.0"
"JR_B.Spot 3205.JPG","9.0"
"JR_B.Spot 3206.JPG","9.0"
"JR_B.Spot 3207.JPG","9.0"
"JR_B.Spot 3208.JPG","9.0"
"JR_B.Spot 3209.JPG","9.0"
"JR_B.Spot 3210.JPG","9.0"
"JR_B.Spot 3211.JPG","9.0"
"JR_B.Spot 3212.JPG","9.0"
"JR_B.Spot 3213.JPG","9.0"
"JR_B.Spot 3214.JPG","10.0"
"JR_B.Spot 3215.JPG","10.0"
"JR_B.Spot 3216.JPG","10.0"
"JR_B.Spot 3217.JPG","10.0"
"JR_B.Spot 3218.JPG","10.0"
"JR_B.Spot 3219.JPG","10.0"
"JR_B.Spot 3220.JPG","10.0"
"JR_B.Spot 3221.JPG","10.0"
"JR_B.Spot 3222.JPG","10.0"
"JR_B.Spot 3223.JPG","11.0"
"JR_B.Spot 3224.JPG","11.0"
"JR_B.Spot 3225.JPG","11.0"
"JR_B.Spot 3226.JPG","11.0"
"JR_B.Spot 3227.JPG","11.0"
"JR_B.Spot 3228.JPG","11.0"
"JR_B.Spot 3229.JPG","11.0"
"JR_B.Spot 3230.JPG","11.0"
"JR_B.Spot 3231.JPG","11.0"
"JR_B.Spot 3232.JPG","11.0"
"JR_B.Spot 3233.JPG","11.0"
"JR_B.Spot 3234.JPG","11.0"
"JR_B.Spot 3235.JPG","11.0"
"JR_B.Spot 3236.JPG","11.0"
"JR_B.Spot 3237.JPG","11.0"
"JR_B.Spot 3238.JPG","11.0"
"JR_B.Spot 3239.JPG","11.0"
"JR_B.Spot 3240.JPG","12.0"
"JR_B.Spot 3241.JPG","12.0"
"JR_B.Spot 3242.JPG","12.0"
"JR_B.Spot 3243.JPG","12.0"
"JR_B.Spot 3244.JPG","12.0"
"JR_B.Spot 3245.JPG","12.0"
"JR_B.Spot 3246.JPG","12.0"
"JR_B.Spot 3247.JPG","12.0"
"JR_B.Spot 3248.JPG","12.0"
"JR_B.Spot 3249.JPG","13.0"
"JR_B.Spot 3250.JPG","13.0"
"JR_B.Spot 3251.JPG","13.0"
"JR_B.Spot 3252.JPG","13.0"
"JR_B.Spot 3253.JPG","13.0"
"JR_B.Spot 3254.JPG","13.0"
"JR_B.Spot 3255.JPG","13.0"
"JR_B.Spot 3256.JPG","13.0"
"JR_B.Spot 3257.JPG","13.0"
"JR_B.Spot 3258.JPG","14.0"
"JR_B.Spot 3259.JPG","14.0"
"JR_B.Spot 3260.JPG","14.0"
"JR_B.Spot 3261.JPG","14.0"
"JR_B.Spot 3262.JPG","14.0"
"JR_B.Spot 3263.JPG","14.0"
"JR_B.Spot 3264.JPG","14.0"
"JR_B.Spot 3265.JPG","14.0"
"JR_B.Spot 3266.JPG","14.0"
"JR_B.Spot 3267.JPG","14.0"
"JR_B.Spot 3268.JPG","14.0"
"JR_B.Spot 3269.JPG","14.0"
"JR_B.Spot 3270.JPG","14.0"
"JR_B.Spot 3271.JPG","14.0"
"JR_B.Spot 3272.JPG","15.0"
"JR_B.Spot 3273.JPG","15.0"
"JR_B.Spot 3274.JPG","15.0"
"JR_B.Spot 3275.JPG","15.0"
"JR_B.Spot 3276.JPG","15.0"
"JR_B.Spot 3277.JPG","15.0"
"JR_B.Spot 3278.JPG","15.0"
"JR_B.Spot 3279.JPG","15.0"
"JR_B.Spot 3280.JPG","15.0"
"JR_B.Spot 3281.JPG","15.0"
"JR_B.Spot 3282.JPG","15.0"
"JR_B.Spot 3283.JPG","15.0"
"JR_B.Spot 3284.JPG","16.0"
"JR_B.Spot 3285.JPG","16.0"
"JR_B.Spot 3286.JPG","16.0"
"JR_B.Spot 3287.JPG","16.0"
"JR_B.Spot 3288.JPG","16.0"
"JR_B.Spot 3289.JPG","16.0"
"JR_B.Spot 3290.JPG","16.0"
"JR_B.Spot 3291.JPG","16.0"
"JR_B.Spot 3292.JPG","16.0"
"JR_B.Spot 3293.JPG","17.0"
"JR_B.Spot 3294.JPG","17.0"
"JR_B.Spot 3295.JPG","17.0"
"JR_B.Spot 3296.JPG","17.0"
"JR_B.Spot 3297.JPG","17.0"
"JR_B.Spot 3298.JPG","17.0"
"JR_B.Spot 3299.JPG","17.0"
"JR_B.Spot 3300.JPG","18.0"
"JR_B.Spot 3301.JPG","18.0"
"JR_B.Spot 3302.JPG","18.0"
"JR_B.Spot 3303.JPG","18.0"
"JR_B.Spot 3304.JPG","18.0"
"JR_B.Spot 3305.JPG","18.0"
"JR_B.Spot 3306.JPG","18.0"
"JR_B.Spot 3307.JPG","18.0"
