"File Name","Leaf #"
"RS_Early.B 6670.JPG","1.0"
"RS_Early.B 6671.JPG","1.0"
"RS_Early.B 6673.JPG","1.0"
"RS_Early.B 6676.JPG","1.0"
"RS_Early.B 6677.JPG","2.0"
"RS_Early.B 6678.JPG","2.0"
"RS_Early.B 6680.JPG","2.0"
"RS_Early.B 6684.JPG","2.0"
"RS_Early.B 6685.JPG","3.0"
"RS_Early.B 6686.JPG","3.0"
"RS_Early.B 6687.JPG","3.0"
"RS_Early.B 6691.JPG","3.0"
"RS_Early.B 6692.JPG","4.0"
"RS_Early.B 6694.JPG","4.0"
"RS_Early.B 6695.JPG","4.0"
"RS_Early.B 6700.JPG","4.0"
"RS_Early.B 6701.JPG","5.0"
"RS_Early.B 6703.JPG","5.0"
"RS_Early.B 6704.JPG","5.0"
"RS_Early.B 6708.JPG","5.0"
"RS_Early.B 6711.JPG","6.0"
"RS_Early.B 6712.JPG","6.0"
"RS_Early.B 6715.JPG","6.0"
"RS_Early.B 6719.JPG","6.0"
"RS_Early.B 6720.JPG","7.0"
"RS_Early.B 6722.JPG","7.0"
"RS_Early.B 6723.JPG","7.0"
"RS_Early.B 6724.JPG","7.0"
"RS_Early.B 6729.JPG","8.0"
"RS_Early.B 6733.JPG","8.0"
"RS_Early.B 6734.JPG","8.0"
"RS_Early.B 6738.JPG","8.0"
"RS_Early.B 6739.JPG","9.0"
"RS_Early.B 6741.JPG","9.0"
"RS_Early.B 6742.JPG","9.0"
"RS_Early.B 6744.JPG","9.0"
"RS_Early.B 6745.JPG","10.0"
"RS_Early.B 6746.JPG","10.0"
"RS_Early.B 6748.JPG","10.0"
"RS_Early.B 6749.JPG","10.0"
"RS_Early.B 6752.JPG","11.0"
"RS_Early.B 6753.JPG","11.0"
"RS_Early.B 6754.JPG","11.0"
"RS_Early.B 6758.JPG","11.0"
"RS_Early.B 6760.JPG","12.0"
"RS_Early.B 6761.JPG","12.0"
"RS_Early.B 6762.JPG","12.0"
"RS_Early.B 6765.JPG","12.0"
"RS_Early.B 6767.JPG","13.0"
"RS_Early.B 6768.JPG","13.0"
"RS_Early.B 6772.JPG","13.0"
"RS_Early.B 6773.JPG","13.0"
"RS_Early.B 6774.JPG","14.0"
"RS_Early.B 6775.JPG","14.0"
"RS_Early.B 6780.JPG","14.0"
"RS_Early.B 6781.JPG","14.0"
"RS_Early.B 6782.JPG","15.0"
"RS_Early.B 6784.JPG","15.0"
"RS_Early.B 6785.JPG","15.0"
"RS_Early.B 6788.JPG","15.0"
"RS_Early.B 6789.JPG","16.0"
"RS_Early.B 6790.JPG","16.0"
"RS_Early.B 6795.JPG","16.0"
"RS_Early.B 6796.JPG","16.0"
"RS_Early.B 6797.JPG","17.0"
"RS_Early.B 6799.JPG","17.0"
"RS_Early.B 6801.JPG","17.0"
"RS_Early.B 6803.JPG","17.0"
"RS_Early.B 6805.JPG","18.0"
"RS_Early.B 6806.JPG","18.0"
"RS_Early.B 6807.JPG","18.0"
"RS_Early.B 6808.JPG","18.0"
"RS_Early.B 6810.JPG","19.0"
"RS_Early.B 6813.JPG","19.0"
"RS_Early.B 6814.JPG","19.0"
"RS_Early.B 6815.JPG","19.0"
"RS_Early.B 6816.JPG","20.0"
"RS_Early.B 6818.JPG","20.0"
"RS_Early.B 6823.JPG","20.0"
"RS_Early.B 6824.JPG","20.0"
"RS_Early.B 6828.JPG","21.0"
"RS_Early.B 6829.JPG","21.0"
"RS_Early.B 6830.JPG","21.0"
"RS_Early.B 6831.JPG","21.0"
"RS_Early.B 6832.JPG","22.0"
"RS_Early.B 6833.JPG","22.0"
"RS_Early.B 6834.JPG","22.0"
"RS_Early.B 6837.JPG","22.0"
"RS_Early.B 6839.JPG","23.0"
"RS_Early.B 6840.JPG","23.0"
"RS_Early.B 6841.JPG","23.0"
"RS_Early.B 6843.JPG","23.0"
"RS_Early.B 6845.JPG","24.0"
"RS_Early.B 6846.JPG","24.0"
"RS_Early.B 6847.JPG","24.0"
"RS_Early.B 6850.JPG","24.0"
"RS_Early.B 6852.JPG","25.0"
"RS_Early.B 6854.JPG","25.0"
"RS_Early.B 6857.JPG","25.0"
"RS_Early.B 6858.JPG","25.0"
"RS_Early.B 6860.JPG","26.0"
"RS_Early.B 6862.JPG","26.0"
"RS_Early.B 6864.JPG","26.0"
"RS_Early.B 6865.JPG","26.0"
"RS_Early.B 6866.JPG","27.0"
"RS_Early.B 6867.JPG","27.0"
"RS_Early.B 6868.JPG","27.0"
"RS_Early.B 6871.JPG","27.0"
"RS_Early.B 6873.JPG","28.0"
"RS_Early.B 6876.JPG","28.0"
"RS_Early.B 6877.JPG","28.0"
"RS_Early.B 6878.JPG","28.0"
"RS_Early.B 6879.JPG","29.0"
"RS_Early.B 6880.JPG","29.0"
"RS_Early.B 6881.JPG","29.0"
"RS_Early.B 6883.JPG","29.0"
"RS_Early.B 6885.JPG","30.0"
"RS_Early.B 6887.JPG","30.0"
"RS_Early.B 6889.JPG","30.0"
"RS_Early.B 6890.JPG","30.0"
"RS_Early.B 6893.JPG","31.0"
"RS_Early.B 6894.JPG","31.0"
"RS_Early.B 6896.JPG","31.0"
"RS_Early.B 6897.JPG","31.0"
"RS_Early.B 6899.JPG","32.0"
"RS_Early.B 6902.JPG","32.0"
"RS_Early.B 6904.JPG","32.0"
