"File Name","Leaf #"
"Mary_HL 6214.JPG","1.0"
"Mary_HL 6215.JPG","1.0"
"Mary_HL 6216.JPG","1.0"
"Mary_HL 6217.JPG","1.0"
"Mary_HL 6218.JPG","1.0"
"Mary_HL 6219.JPG","1.0"
"Mary_HL 6220.JPG","1.0"
"Mary_HL 6221.JPG","1.0"
"Mary_HL 6222.JPG","2.0"
"Mary_HL 6223.JPG","2.0"
"Mary_HL 6224.JPG","2.0"
"Mary_HL 6225.JPG","2.0"
"Mary_HL 6226.JPG","2.0"
"Mary_HL 6227.JPG","2.0"
"Mary_HL 6228.JPG","2.0"
"Mary_HL 6229.JPG","2.0"
"Mary_HL 6230.JPG","3.0"
"Mary_HL 6231.JPG","3.0"
"Mary_HL 6232.JPG","3.0"
"Mary_HL 6233.JPG","3.0"
"Mary_HL 6234.JPG","3.0"
"Mary_HL 6235.JPG","3.0"
"Mary_HL 6236.JPG","3.0"
"Mary_HL 6237.JPG","3.0"
"Mary_HL 6238.JPG","4.0"
"Mary_HL 6239.JPG","4.0"
"Mary_HL 6240.JPG","4.0"
"Mary_HL 6241.JPG","4.0"
"Mary_HL 6242.JPG","4.0"
"Mary_HL 6243.JPG","4.0"
"Mary_HL 6244.JPG","4.0"
"Mary_HL 6245.JPG","4.0"
"Mary_HL 6246.JPG","5.0"
"Mary_HL 6247.JPG","5.0"
"Mary_HL 6248.JPG","5.0"
"Mary_HL 6249.JPG","5.0"
"Mary_HL 6250.JPG","5.0"
"Mary_HL 6251.JPG","5.0"
"Mary_HL 6252.JPG","5.0"
"Mary_HL 6276.JPG","6.0"
"Mary_HL 6277.JPG","6.0"
"Mary_HL 6278.JPG","6.0"
"Mary_HL 6279.JPG","6.0"
"Mary_HL 6280.JPG","6.0"
"Mary_HL 6281.JPG","6.0"
"Mary_HL 6282.JPG","6.0"
"Mary_HL 6283.JPG","7.0"
"Mary_HL 6284.JPG","7.0"
"Mary_HL 6285.JPG","7.0"
"Mary_HL 6286.JPG","7.0"
"Mary_HL 6287.JPG","7.0"
"Mary_HL 6288.JPG","7.0"
"Mary_HL 6289.JPG","7.0"
"Mary_HL 6290.JPG","7.0"
"Mary_HL 6291.JPG","7.0"
"Mary_HL 6292.JPG","8.0"
"Mary_HL 6293.JPG","8.0"
"Mary_HL 6294.JPG","8.0"
"Mary_HL 6295.JPG","8.0"
"Mary_HL 6296.JPG","8.0"
"Mary_HL 6297.JPG","8.0"
"Mary_HL 6298.JPG","8.0"
"Mary_HL 6299.JPG","9.0"
