"File Name","Leaf #"
"RS_Late.B 4827.JPG","1.0"
"RS_Late.B 4828.JPG","1.0"
"RS_Late.B 4829.JPG","1.0"
"RS_Late.B 4831.JPG","1.0"
"RS_Late.B 4832.JPG","2.0"
"RS_Late.B 4833.JPG","2.0"
"RS_Late.B 4834.JPG","2.0"
"RS_Late.B 4836.JPG","2.0"
"RS_Late.B 4837.JPG","3.0"
"RS_Late.B 4838.JPG","3.0"
"RS_Late.B 4840.JPG","3.0"
"RS_Late.B 4841.JPG","3.0"
"RS_Late.B 4842.JPG","4.0"
"RS_Late.B 4843.JPG","4.0"
"RS_Late.B 4844.JPG","4.0"
"RS_Late.B 4846.JPG","4.0"
"RS_Late.B 4847.JPG","5.0"
"RS_Late.B 4849.JPG","5.0"
"RS_Late.B 4850.JPG","5.0"
"RS_Late.B 4852.JPG","5.0"
"RS_Late.B 4853.JPG","6.0"
"RS_Late.B 4854.JPG","6.0"
"RS_Late.B 4855.JPG","6.0"
"RS_Late.B 4856.JPG","6.0"
"RS_Late.B 4857.JPG","7.0"
"RS_Late.B 4859.JPG","7.0"
"RS_Late.B 4860.JPG","7.0"
"RS_Late.B 4861.JPG","7.0"
"RS_Late.B 4863.JPG","8.0"
"RS_Late.B 4864.JPG","8.0"
"RS_Late.B 4865.JPG","8.0"
"RS_Late.B 4866.JPG","8.0"
"RS_Late.B 4867.JPG","9.0"
"RS_Late.B 4868.JPG","9.0"
"RS_Late.B 4869.JPG","9.0"
"RS_Late.B 4871.JPG","9.0"
"RS_Late.B 4872.JPG","10.0"
"RS_Late.B 4873.JPG","10.0"
"RS_Late.B 4874.JPG","10.0"
"RS_Late.B 4876.JPG","10.0"
"RS_Late.B 4882.JPG","11.0"
"RS_Late.B 4883.JPG","11.0"
"RS_Late.B 4885.JPG","11.0"
"RS_Late.B 4886.JPG","11.0"
"RS_Late.B 4892.JPG","12.0"
"RS_Late.B 4893.JPG","12.0"
"RS_Late.B 4894.JPG","12.0"
"RS_Late.B 4895.JPG","12.0"
"RS_Late.B 4897.JPG","13.0"
"RS_Late.B 4898.JPG","13.0"
"RS_Late.B 4900.JPG","13.0"
"RS_Late.B 4901.JPG","13.0"
"RS_Late.B 4902.JPG","14.0"
"RS_Late.B 4903.JPG","14.0"
"RS_Late.B 4905.JPG","14.0"
"RS_Late.B 4906.JPG","14.0"
"RS_Late.B 4907.JPG","15.0"
"RS_Late.B 4908.JPG","15.0"
"RS_Late.B 4910.JPG","15.0"
"RS_Late.B 4911.JPG","15.0"
"RS_Late.B 4912.JPG","16.0"
"RS_Late.B 4913.JPG","16.0"
