"File Name","Leaf #"
"Crnl_L.Mold 6496.JPG","1.0"
"Crnl_L.Mold 6497.JPG","1.0"
"Crnl_L.Mold 6498.JPG","1.0"
"Crnl_L.Mold 6499.JPG","1.0"
"Crnl_L.Mold 6500.JPG","2.0"
"Crnl_L.Mold 6501.JPG","2.0"
"Crnl_L.Mold 6502.JPG","2.0"
"Crnl_L.Mold 6504.JPG","2.0"
"Crnl_L.Mold 6505.JPG","3.0"
"Crnl_L.Mold 6506.JPG","3.0"
"Crnl_L.Mold 6508.JPG","3.0"
"Crnl_L.Mold 6509.JPG","3.0"
"Crnl_L.Mold 6510.JPG","4.0"
"Crnl_L.Mold 6511.JPG","4.0"
"Crnl_L.Mold 6512.JPG","4.0"
"Crnl_L.Mold 6514.JPG","4.0"
"Crnl_L.Mold 6516.JPG","5.0"
"Crnl_L.Mold 6517.JPG","5.0"
"Crnl_L.Mold 6518.JPG","5.0"
"Crnl_L.Mold 6519.JPG","5.0"
"Crnl_L.Mold 6520.JPG","6.0"
"Crnl_L.Mold 6522.JPG","6.0"
"Crnl_L.Mold 6523.JPG","6.0"
"Crnl_L.Mold 6524.JPG","6.0"
"Crnl_L.Mold 6525.JPG","7.0"
"Crnl_L.Mold 6526.JPG","7.0"
"Crnl_L.Mold 6528.JPG","7.0"
"Crnl_L.Mold 6529.JPG","7.0"
"Crnl_L.Mold 6530.JPG","8.0"
"Crnl_L.Mold 6531.JPG","8.0"
"Crnl_L.Mold 6532.JPG","8.0"
"Crnl_L.Mold 6534.JPG","8.0"
"Crnl_L.Mold 6535.JPG","9.0"
"Crnl_L.Mold 6536.JPG","9.0"
"Crnl_L.Mold 6537.JPG","9.0"
"Crnl_L.Mold 6539.JPG","9.0"
"Crnl_L.Mold 6540.JPG","10.0"
"Crnl_L.Mold 6541.JPG","10.0"
"Crnl_L.Mold 6542.JPG","10.0"
"Crnl_L.Mold 6544.JPG","10.0"
"Crnl_L.Mold 6545.JPG","11.0"
"Crnl_L.Mold 6547.JPG","11.0"
"Crnl_L.Mold 6548.JPG","11.0"
"Crnl_L.Mold 6549.JPG","11.0"
"Crnl_L.Mold 6550.JPG","12.0"
"Crnl_L.Mold 6551.JPG","12.0"
"Crnl_L.Mold 6553.JPG","12.0"
"Crnl_L.Mold 6554.JPG","12.0"
"Crnl_L.Mold 6555.JPG","13.0"
"Crnl_L.Mold 6556.JPG","13.0"
"Crnl_L.Mold 6559.JPG","13.0"
"Crnl_L.Mold 6560.JPG","13.0"
"Crnl_L.Mold 6561.JPG","14.0"
"Crnl_L.Mold 6563.JPG","14.0"
"Crnl_L.Mold 6564.JPG","14.0"
"Crnl_L.Mold 6565.JPG","14.0"
"Crnl_L.Mold 6566.JPG","15.0"
"Crnl_L.Mold 6568.JPG","15.0"
"Crnl_L.Mold 6569.JPG","15.0"
"Crnl_L.Mold 6570.JPG","15.0"
"Crnl_L.Mold 6571.JPG","16.0"
"Crnl_L.Mold 6572.JPG","16.0"
"Crnl_L.Mold 6574.JPG","16.0"
"Crnl_L.Mold 6575.JPG","16.0"
"Crnl_L.Mold 6577.JPG","17.0"
"Crnl_L.Mold 6578.JPG","17.0"
"Crnl_L.Mold 6579.JPG","17.0"
"Crnl_L.Mold 6580.JPG","17.0"
"Crnl_L.Mold 6581.JPG","18.0"
"Crnl_L.Mold 6583.JPG","18.0"
"Crnl_L.Mold 6584.JPG","18.0"
"Crnl_L.Mold 6585.JPG","18.0"
"Crnl_L.Mold 6586.JPG","19.0"
"Crnl_L.Mold 6588.JPG","19.0"
"Crnl_L.Mold 6589.JPG","19.0"
"Crnl_L.Mold 6590.JPG","19.0"
"Crnl_L.Mold 6591.JPG","20.0"
"Crnl_L.Mold 6592.JPG","20.0"
"Crnl_L.Mold 6593.JPG","20.0"
"Crnl_L.Mold 6595.JPG","20.0"
"Crnl_L.Mold 6596.JPG","21.0"
"Crnl_L.Mold 6598.JPG","21.0"
"Crnl_L.Mold 6599.JPG","21.0"
"Crnl_L.Mold 6600.JPG","21.0"
"Crnl_L.Mold 6601.JPG","22.0"
"Crnl_L.Mold 6603.JPG","22.0"
"Crnl_L.Mold 6604.JPG","22.0"
"Crnl_L.Mold 6605.JPG","22.0"
"Crnl_L.Mold 6609.JPG","23.0"
"Crnl_L.Mold 6610.JPG","23.0"
"Crnl_L.Mold 6611.JPG","23.0"
"Crnl_L.Mold 6613.JPG","23.0"
"Crnl_L.Mold 6614.JPG","24.0"
"Crnl_L.Mold 6615.JPG","24.0"
"Crnl_L.Mold 6616.JPG","24.0"
"Crnl_L.Mold 6617.JPG","24.0"
"Crnl_L.Mold 6619.JPG","25.0"
"Crnl_L.Mold 6620.JPG","25.0"
"Crnl_L.Mold 6623.JPG","25.0"
"Crnl_L.Mold 6624.JPG","25.0"
"Crnl_L.Mold 6625.JPG","26.0"
"Crnl_L.Mold 6626.JPG","26.0"
"Crnl_L.Mold 6627.JPG","26.0"
"Crnl_L.Mold 6629.JPG","26.0"
"Crnl_L.Mold 6630.JPG","27.0"
"Crnl_L.Mold 6632.JPG","27.0"
"Crnl_L.Mold 6633.JPG","27.0"
"Crnl_L.Mold 6634.JPG","27.0"
"Crnl_L.Mold 6635.JPG","28.0"
"Crnl_L.Mold 6636.JPG","28.0"
"Crnl_L.Mold 6638.JPG","28.0"
"Crnl_L.Mold 6639.JPG","28.0"
"Crnl_L.Mold 6641.JPG","29.0"
"Crnl_L.Mold 6642.JPG","29.0"
"Crnl_L.Mold 6643.JPG","29.0"
"Crnl_L.Mold 6644.JPG","29.0"
"Crnl_L.Mold 6645.JPG","30.0"
"Crnl_L.Mold 6646.JPG","30.0"
"Crnl_L.Mold 6648.JPG","30.0"
"Crnl_L.Mold 6649.JPG","30.0"
"Crnl_L.Mold 6650.JPG","31.0"
"Crnl_L.Mold 6651.JPG","31.0"
"Crnl_L.Mold 6652.JPG","31.0"
"Crnl_L.Mold 6654.JPG","31.0"
"Crnl_L.Mold 6655.JPG","32.0"
"Crnl_L.Mold 6657.JPG","32.0"
"Crnl_L.Mold 6658.JPG","32.0"
"Crnl_L.Mold 6659.JPG","32.0"
"Crnl_L.Mold 6660.JPG","33.0"
"Crnl_L.Mold 6662.JPG","33.0"
"Crnl_L.Mold 6663.JPG","33.0"
"Crnl_L.Mold 6664.JPG","33.0"
"Crnl_L.Mold 6665.JPG","34.0"
"Crnl_L.Mold 6667.JPG","34.0"
"Crnl_L.Mold 6668.JPG","34.0"
"Crnl_L.Mold 6669.JPG","34.0"
"Crnl_L.Mold 6670.JPG","35.0"
"Crnl_L.Mold 6671.JPG","35.0"
"Crnl_L.Mold 6672.JPG","35.0"
"Crnl_L.Mold 6674.JPG","35.0"
"Crnl_L.Mold 6675.JPG","36.0"
"Crnl_L.Mold 6676.JPG","36.0"
"Crnl_L.Mold 6678.JPG","36.0"
"Crnl_L.Mold 6679.JPG","36.0"
"Crnl_L.Mold 6680.JPG","37.0"
"Crnl_L.Mold 6682.JPG","37.0"
"Crnl_L.Mold 6683.JPG","37.0"
"Crnl_L.Mold 6684.JPG","37.0"
"Crnl_L.Mold 6685.JPG","38.0"
"Crnl_L.Mold 6686.JPG","38.0"
"Crnl_L.Mold 6687.JPG","38.0"
"Crnl_L.Mold 6689.JPG","38.0"
"Crnl_L.Mold 6690.JPG","39.0"
"Crnl_L.Mold 6692.JPG","39.0"
"Crnl_L.Mold 6693.JPG","39.0"
"Crnl_L.Mold 6694.JPG","39.0"
"Crnl_L.Mold 6695.JPG","40.0"
"Crnl_L.Mold 6696.JPG","40.0"
"Crnl_L.Mold 6697.JPG","40.0"
"Crnl_L.Mold 6699.JPG","40.0"
"Crnl_L.Mold 6700.JPG","41.0"
"Crnl_L.Mold 6701.JPG","41.0"
"Crnl_L.Mold 6703.JPG","41.0"
"Crnl_L.Mold 6704.JPG","41.0"
"Crnl_L.Mold 6705.JPG","42.0"
"Crnl_L.Mold 6707.JPG","42.0"
"Crnl_L.Mold 6708.JPG","42.0"
"Crnl_L.Mold 6709.JPG","42.0"
"Crnl_L.Mold 6710.JPG","43.0"
"Crnl_L.Mold 6711.JPG","43.0"
"Crnl_L.Mold 6713.JPG","43.0"
"Crnl_L.Mold 6714.JPG","43.0"
"Crnl_L.Mold 6715.JPG","44.0"
"Crnl_L.Mold 6717.JPG","44.0"
"Crnl_L.Mold 6718.JPG","44.0"
"Crnl_L.Mold 6719.JPG","44.0"
"Crnl_L.Mold 6720.JPG","45.0"
"Crnl_L.Mold 6721.JPG","45.0"
"Crnl_L.Mold 6722.JPG","45.0"
"Crnl_L.Mold 6724.JPG","45.0"
"Crnl_L.Mold 6725.JPG","46.0"
"Crnl_L.Mold 6727.JPG","46.0"
"Crnl_L.Mold 6728.JPG","46.0"
"Crnl_L.Mold 6729.JPG","46.0"
"Crnl_L.Mold 6730.JPG","47.0"
"Crnl_L.Mold 6732.JPG","47.0"
"Crnl_L.Mold 6733.JPG","47.0"
"Crnl_L.Mold 6734.JPG","47.0"
"Crnl_L.Mold 6735.JPG","48.0"
"Crnl_L.Mold 6736.JPG","48.0"
"Crnl_L.Mold 6738.JPG","48.0"
"Crnl_L.Mold 6739.JPG","48.0"
"Crnl_L.Mold 6740.JPG","49.0"
"Crnl_L.Mold 6743.JPG","49.0"
"Crnl_L.Mold 6744.JPG","49.0"
"Crnl_L.Mold 6745.JPG","49.0"
"Crnl_L.Mold 6746.JPG","50.0"
"Crnl_L.Mold 6748.JPG","50.0"
"Crnl_L.Mold 6749.JPG","50.0"
"Crnl_L.Mold 6750.JPG","50.0"
"Crnl_L.Mold 6751.JPG","51.0"
"Crnl_L.Mold 6753.JPG","51.0"
"Crnl_L.Mold 6754.JPG","51.0"
"Crnl_L.Mold 6755.JPG","51.0"
"Crnl_L.Mold 6756.JPG","52.0"
"Crnl_L.Mold 6758.JPG","52.0"
"Crnl_L.Mold 6759.JPG","52.0"
"Crnl_L.Mold 6760.JPG","52.0"
"Crnl_L.Mold 6761.JPG","53.0"
"Crnl_L.Mold 6763.JPG","53.0"
"Crnl_L.Mold 6764.JPG","53.0"
"Crnl_L.Mold 6765.JPG","53.0"
"Crnl_L.Mold 6766.JPG","54.0"
"Crnl_L.Mold 6767.JPG","54.0"
"Crnl_L.Mold 6769.JPG","54.0"
"Crnl_L.Mold 6770.JPG","54.0"
"Crnl_L.Mold 6771.JPG","55.0"
"Crnl_L.Mold 6773.JPG","55.0"
"Crnl_L.Mold 6774.JPG","55.0"
"Crnl_L.Mold 6775.JPG","55.0"
"Crnl_L.Mold 6776.JPG","56.0"
"Crnl_L.Mold 6777.JPG","56.0"
"Crnl_L.Mold 6778.JPG","56.0"
"Crnl_L.Mold 6780.JPG","56.0"
"Crnl_L.Mold 6781.JPG","57.0"
"Crnl_L.Mold 6783.JPG","57.0"
"Crnl_L.Mold 6784.JPG","57.0"
"Crnl_L.Mold 6785.JPG","57.0"
"Crnl_L.Mold 6786.JPG","58.0"
"Crnl_L.Mold 6788.JPG","58.0"
"Crnl_L.Mold 6789.JPG","58.0"
"Crnl_L.Mold 6790.JPG","58.0"
"Crnl_L.Mold 6794.JPG","59.0"
"Crnl_L.Mold 6795.JPG","59.0"
"Crnl_L.Mold 6797.JPG","59.0"
"Crnl_L.Mold 6798.JPG","59.0"
"Crnl_L.Mold 6799.JPG","60.0"
"Crnl_L.Mold 6801.JPG","60.0"
"Crnl_L.Mold 6802.JPG","60.0"
"Crnl_L.Mold 6803.JPG","60.0"
"Crnl_L.Mold 6804.JPG","61.0"
"Crnl_L.Mold 6806.JPG","61.0"
"Crnl_L.Mold 6807.JPG","61.0"
"Crnl_L.Mold 6808.JPG","61.0"
"Crnl_L.Mold 6809.JPG","62.0"
"Crnl_L.Mold 6810.JPG","62.0"
"Crnl_L.Mold 6811.JPG","62.0"
"Crnl_L.Mold 6813.JPG","62.0"
"Crnl_L.Mold 6814.JPG","63.0"
"Crnl_L.Mold 6815.JPG","63.0"
"Crnl_L.Mold 6816.JPG","63.0"
"Crnl_L.Mold 6818.JPG","63.0"
"Crnl_L.Mold 6819.JPG","64.0"
"Crnl_L.Mold 6820.JPG","64.0"
"Crnl_L.Mold 6822.JPG","64.0"
"Crnl_L.Mold 6823.JPG","64.0"
"Crnl_L.Mold 6824.JPG","65.0"
"Crnl_L.Mold 6825.JPG","65.0"
"Crnl_L.Mold 6826.JPG","65.0"
"Crnl_L.Mold 6828.JPG","65.0"
"Crnl_L.Mold 6829.JPG","66.0"
"Crnl_L.Mold 6830.JPG","66.0"
"Crnl_L.Mold 6831.JPG","66.0"
"Crnl_L.Mold 6833.JPG","66.0"
"Crnl_L.Mold 6836.JPG","67.0"
"Crnl_L.Mold 6837.JPG","67.0"
"Crnl_L.Mold 6838.JPG","67.0"
"Crnl_L.Mold 6840.JPG","67.0"
"Crnl_L.Mold 6842.JPG","68.0"
"Crnl_L.Mold 6843.JPG","68.0"
"Crnl_L.Mold 6844.JPG","68.0"
"Crnl_L.Mold 6845.JPG","68.0"
"Crnl_L.Mold 6847.JPG","69.0"
"Crnl_L.Mold 6849.JPG","69.0"
"Crnl_L.Mold 6850.JPG","69.0"
"Crnl_L.Mold 6851.JPG","69.0"
"Crnl_L.Mold 6852.JPG","70.0"
"Crnl_L.Mold 6854.JPG","70.0"
"Crnl_L.Mold 6855.JPG","70.0"
"Crnl_L.Mold 6856.JPG","70.0"
"Crnl_L.Mold 6858.JPG","71.0"
"Crnl_L.Mold 6859.JPG","71.0"
"Crnl_L.Mold 6861.JPG","71.0"
"Crnl_L.Mold 6862.JPG","71.0"
"Crnl_L.Mold 6863.JPG","72.0"
"Crnl_L.Mold 6865.JPG","72.0"
"Crnl_L.Mold 6866.JPG","72.0"
"Crnl_L.Mold 6867.JPG","72.0"
"Crnl_L.Mold 6871.JPG","73.0"
"Crnl_L.Mold 6872.JPG","73.0"
"Crnl_L.Mold 6873.JPG","73.0"
"Crnl_L.Mold 6875.JPG","73.0"
"Crnl_L.Mold 6878.JPG","74.0"
"Crnl_L.Mold 6880.JPG","74.0"
"Crnl_L.Mold 6881.JPG","74.0"
"Crnl_L.Mold 6882.JPG","74.0"
"Crnl_L.Mold 6883.JPG","75.0"
"Crnl_L.Mold 6885.JPG","75.0"
"Crnl_L.Mold 6886.JPG","75.0"
"Crnl_L.Mold 6887.JPG","75.0"
"Crnl_L.Mold 6889.JPG","76.0"
"Crnl_L.Mold 6890.JPG","76.0"
"Crnl_L.Mold 6891.JPG","76.0"
"Crnl_L.Mold 6893.JPG","76.0"
"Crnl_L.Mold 6894.JPG","77.0"
"Crnl_L.Mold 6895.JPG","77.0"
"Crnl_L.Mold 6896.JPG","77.0"
"Crnl_L.Mold 6898.JPG","77.0"
"Crnl_L.Mold 6899.JPG","78.0"
"Crnl_L.Mold 6900.JPG","78.0"
"Crnl_L.Mold 6901.JPG","78.0"
"Crnl_L.Mold 6902.JPG","78.0"
"Crnl_L.Mold 6904.JPG","79.0"
"Crnl_L.Mold 6905.JPG","79.0"
"Crnl_L.Mold 6906.JPG","79.0"
"Crnl_L.Mold 6907.JPG","79.0"
"Crnl_L.Mold 6910.JPG","80.0"
"Crnl_L.Mold 6912.JPG","80.0"
"Crnl_L.Mold 6913.JPG","80.0"
"Crnl_L.Mold 6914.JPG","80.0"
"Crnl_L.Mold 6916.JPG","81.0"
"Crnl_L.Mold 6917.JPG","81.0"
"Crnl_L.Mold 6918.JPG","81.0"
"Crnl_L.Mold 6919.JPG","81.0"
"Crnl_L.Mold 6922.JPG","82.0"
"Crnl_L.Mold 6923.JPG","82.0"
"Crnl_L.Mold 6924.JPG","82.0"
"Crnl_L.Mold 6925.JPG","82.0"
"Crnl_L.Mold 6926.JPG","83.0"
"Crnl_L.Mold 6927.JPG","83.0"
"Crnl_L.Mold 6929.JPG","83.0"
"Crnl_L.Mold 6930.JPG","83.0"
"Crnl_L.Mold 6931.JPG","84.0"
"Crnl_L.Mold 6934.JPG","84.0"
"Crnl_L.Mold 6935.JPG","84.0"
"Crnl_L.Mold 6936.JPG","84.0"
"Crnl_L.Mold 6937.JPG","85.0"
"Crnl_L.Mold 6938.JPG","85.0"
"Crnl_L.Mold 6939.JPG","85.0"
"Crnl_L.Mold 6941.JPG","85.0"
"Crnl_L.Mold 6942.JPG","86.0"
"Crnl_L.Mold 6944.JPG","86.0"
"Crnl_L.Mold 6945.JPG","86.0"
"Crnl_L.Mold 6946.JPG","86.0"
"Crnl_L.Mold 6948.JPG","87.0"
"Crnl_L.Mold 6949.JPG","87.0"
"Crnl_L.Mold 6950.JPG","87.0"
"Crnl_L.Mold 6952.JPG","87.0"
"Crnl_L.Mold 6953.JPG","88.0"
"Crnl_L.Mold 6954.JPG","88.0"
"Crnl_L.Mold 6955.JPG","88.0"
"Crnl_L.Mold 6957.JPG","88.0"
"Crnl_L.Mold 6958.JPG","89.0"
"Crnl_L.Mold 6960.JPG","89.0"
"Crnl_L.Mold 6961.JPG","89.0"
"Crnl_L.Mold 6962.JPG","89.0"
"Crnl_L.Mold 6963.JPG","90.0"
"Crnl_L.Mold 6964.JPG","90.0"
"Crnl_L.Mold 6965.JPG","90.0"
"Crnl_L.Mold 6966.JPG","90.0"
"Crnl_L.Mold 6968.JPG","91.0"
"Crnl_L.Mold 6969.JPG","91.0"
"Crnl_L.Mold 6970.JPG","91.0"
"Crnl_L.Mold 6972.JPG","91.0"
"Crnl_L.Mold 6974.JPG","92.0"
"Crnl_L.Mold 6975.JPG","92.0"
"Crnl_L.Mold 6976.JPG","92.0"
"Crnl_L.Mold 6977.JPG","92.0"
"Crnl_L.Mold 6978.JPG","93.0"
"Crnl_L.Mold 6980.JPG","93.0"
"Crnl_L.Mold 6981.JPG","93.0"
"Crnl_L.Mold 6982.JPG","93.0"
"Crnl_L.Mold 6983.JPG","94.0"
"Crnl_L.Mold 6984.JPG","94.0"
"Crnl_L.Mold 6985.JPG","94.0"
"Crnl_L.Mold 6986.JPG","94.0"
"Crnl_L.Mold 6988.JPG","95.0"
"Crnl_L.Mold 6989.JPG","95.0"
"Crnl_L.Mold 6990.JPG","95.0"
"Crnl_L.Mold 6991.JPG","95.0"
"Crnl_L.Mold 6994.JPG","96.0"
"Crnl_L.Mold 6995.JPG","96.0"
"Crnl_L.Mold 6996.JPG","96.0"
"Crnl_L.Mold 6997.JPG","96.0"
"Crnl_L.Mold 6998.JPG","97.0"
"Crnl_L.Mold 6999.JPG","97.0"
"Crnl_L.Mold 7000.JPG","97.0"
"Crnl_L.Mold 7002.JPG","97.0"
"Crnl_L.Mold 7003.JPG","98.0"
"Crnl_L.Mold 7004.JPG","98.0"
"Crnl_L.Mold 7005.JPG","98.0"
"Crnl_L.Mold 7007.JPG","98.0"
"Crnl_L.Mold 7008.JPG","99.0"
"Crnl_L.Mold 7009.JPG","99.0"
"Crnl_L.Mold 7010.JPG","99.0"
"Crnl_L.Mold 7011.JPG","99.0"
"Crnl_L.Mold 7013.JPG","100.0"
"Crnl_L.Mold 7014.JPG","100.0"
"Crnl_L.Mold 7015.JPG","100.0"
"Crnl_L.Mold 7017.JPG","100.0"
"Crnl_L.Mold 7018.JPG","101.0"
"Crnl_L.Mold 7019.JPG","101.0"
"Crnl_L.Mold 7021.JPG","101.0"
"Crnl_L.Mold 7022.JPG","101.0"
"Crnl_L.Mold 7023.JPG","102.0"
"Crnl_L.Mold 7025.JPG","102.0"
"Crnl_L.Mold 7026.JPG","102.0"
"Crnl_L.Mold 7027.JPG","102.0"
"Crnl_L.Mold 7028.JPG","103.0"
"Crnl_L.Mold 7029.JPG","103.0"
"Crnl_L.Mold 7030.JPG","103.0"
"Crnl_L.Mold 7032.JPG","103.0"
"Crnl_L.Mold 7033.JPG","104.0"
"Crnl_L.Mold 7034.JPG","104.0"
"Crnl_L.Mold 7035.JPG","104.0"
"Crnl_L.Mold 7036.JPG","104.0"
"Crnl_L.Mold 7038.JPG","105.0"
"Crnl_L.Mold 7039.JPG","105.0"
"Crnl_L.Mold 7040.JPG","105.0"
"Crnl_L.Mold 7042.JPG","105.0"
"Crnl_L.Mold 7043.JPG","106.0"
"Crnl_L.Mold 7044.JPG","106.0"
"Crnl_L.Mold 7045.JPG","106.0"
"Crnl_L.Mold 7046.JPG","106.0"
"Crnl_L.Mold 7048.JPG","107.0"
